Player,Squad,90s,Goals conceded,Penalties conceded,Goals conceded from FKs,Goals conceded from corners,Own goals conceded,Post-shot xG,PSxG per Shot on Target,PSxG difference,Launches completed,Launches attempted,Launches completion percentage,Passes attempted,Throws attempted,Launch percentage,Average pass length,Goal kicks attempted,Launched goal kicks percentage,Average goal kick length,Crosses faced,Crosses stopped,Cross stopped percentage,Out-of-box defensive actions,Average OPA distance
Melissa Barbieri,Melb City,1.3,0.77,0,0,0,0.77,0.23,0.14,0.23,4.62,8.46,54.5,31.5,3.08,22,25.6,3.08,50,35.3,11.5,1.54,13.3,0.77,14.8
Jasmine Black,Sydney FC,5.2,0.58,0,0,0,0,1.35,0.31,0.77,2.31,7.5,30.8,11.5,3.65,30,33.7,8.85,45.7,34.5,14.6,0.77,5.3,0.38,9.3
Alyssa Dall'Oste,Western United,8,1.5,0.13,0,0.25,0.25,0.95,0.21,-0.3,1.88,5,37.5,26.3,6.25,13.8,24.1,8,17.2,23.9,12.1,0.25,2.1,0.88,16.5
Casey Dumont,Perth Glory,17,1.71,0.06,0.12,0.35,0.06,1.34,0.27,-0.31,2.41,8.82,27.3,21.3,4.88,30.1,34.2,9.41,25.6,29.1,13.9,0.76,5.5,0.88,14.3
Brianna Edwards,Sydney FC,8.5,1.18,0.12,0.12,0,0,1.16,0.26,-0.01,2,6,33.3,11.5,4.59,18.4,27.5,9.88,39.3,32.7,11.5,0.24,2,0.12,10.1
Aimee Feinberg-Danieli,Wellington Phoenix,0.5,0,0,0,0,0,0.8,0.4,0.8,0,2,0,30,6,6.7,26,4,0,10.5,10,4,40,4,14.8
Tahlia Franco,Sydney FC,5.5,1.64,0.18,0,0.36,0,1.45,0.3,-0.18,2.55,7.09,35.9,10.4,3.09,42.1,37.8,7.64,35.7,30.3,11.3,0.36,3.2,0.36,10.4
Aimee Hall,W Sydney,1.5,3.33,0,0.67,0.67,0,3.4,0.37,0.07,2,5.33,37.5,15.3,5.33,21.7,31.2,8.67,23.1,25.8,12.7,0.67,5.3,1.33,23.7
Sally James,Canberra Utd,22.9,1.35,0,0.04,0.09,0.13,1.25,0.25,0.03,5.68,15.8,36,27.1,2.97,37.7,36.4,10.8,51.4,38,16.3,0.61,3.8,0.61,12
Claudia Jenkins,Adelaide Utd,22,1.27,0.05,0,0.09,0.09,1.43,0.29,0.25,3.23,14.3,22.5,32.3,3.95,34.4,33.3,7.91,40.8,32.5,14.4,0.32,2.2,1.77,15.3
Sham Khamis,W Sydney,19.9,1.76,0.2,0.1,0.45,0.15,1.68,0.25,0.07,3.82,11.1,34.4,24,5.23,29.9,31.1,11.2,35.1,30.7,15.2,0.85,5.6,1.01,12.6
Danielle Krzyzaniak,Newcastle Jets,14.9,2.55,0.07,0,0.34,0,2.44,0.34,-0.11,4.63,15.5,29.9,29.7,5.64,34.2,33.1,10.5,51,37.9,13.6,0.4,3,3.29,16.6
Sarah Langman,Central Coast Mariners,23,1.09,0,0.13,0.09,0,1.22,0.24,0.13,5.48,13.1,41.9,32.3,6,25.7,30.8,9.74,49.1,37.4,12,0.26,2.2,1.39,14.8
Chloe Lincoln,Western United,15,2.27,0.07,0.07,0.53,0,1.64,0.33,-0.63,4.07,13.8,29.5,27.1,3.33,37.8,34.1,8.93,39.6,34.1,11.4,0.6,5.3,1.07,13.7
Coco Majstorovic,Canberra Utd,0.1,0,0,0,0,0,7,0.36,7,0,40,0,30,10,66.7,51.3,20,100,45,50,0,0,40,26
Bethany Mason-Jones,Sydney FC,3.8,1.84,0,0,0,0,1.63,0.33,-0.21,0.26,3.68,7.1,11.1,3.95,23.8,25.9,7.63,13.8,24.8,10.5,1.05,10,1.32,13.2
Ilona Melegh,Adelaide Utd,1,2,0,0,0,0,1.6,0.27,-0.4,6,12,50,32,6,34.4,31.8,8,12.5,19.9,21,2,9.5,1,12.7
Malena Mieres,Melb City,21.7,0.97,0.09,0,0.18,0,0.96,0.24,-0.01,3.5,10.5,33.3,40.9,3.82,23.7,28.9,1.84,45,34,11.2,0.37,3.3,3,18.4
Brooke Neary,Wellington Phoenix,0.1,0,0,0,0,0,3,0.14,3,20,20,100,40,0,50,37,0,0,0,20,0,0,0,0
Courtney Newbon,Melb Victory,23,0.91,0.04,0,0.13,0.04,1.05,0.27,0.18,4.13,11.5,35.8,35.1,5.17,24,29.8,7.39,41.8,36,13.4,0.65,4.9,0.61,11.8
Keeley Richards,Brisbane Roar,6.7,2.99,0.15,0,0.45,0,2.27,0.31,-0.72,2.24,5.97,37.5,20.1,7.01,19.3,30.5,8.81,23.7,26.5,15.1,0.9,5.9,0.45,11.4
Tiahna Robertson,Newcastle Jets,8.1,1.85,0,0.12,0.25,0,1.86,0.34,0.01,2.1,10.4,20.2,36,5.31,24.7,27.6,10.2,14.5,24.2,13.5,0.62,4.6,3.95,20.4
Keely Segavcic,W Sydney,1.6,3.75,0.63,0,0.63,0,2.81,0.2,-0.94,3.13,13.8,22.7,31.3,8.13,32,31.3,12.5,30,31.9,19.4,1.88,9.7,0,6.5
Olivia Sekany,Brisbane Roar,16.3,1.35,0.06,0.18,0.06,0,1.3,0.3,-0.05,2.21,9.63,22.9,16.7,2.88,33.5,35.5,8.53,47.5,35.3,10.9,0.55,5.1,0.37,11.3
Miranda Templeman,Perth Glory,6,2.33,0.17,0,0.33,0,1.55,0.24,-0.78,1.83,6,30.6,19.2,4.67,15.7,27.4,12,25,27.5,14.8,0.83,5.6,0.33,11.4
Carolina Vilão,Wellington Phoenix,22.4,1.34,0.09,0,0.31,0.09,1.41,0.29,0.16,6.25,16.3,38.5,26,2.5,38.8,34.4,9.15,67.3,44.7,11.7,0.71,6.1,1.34,14.9
