Player,Squad,90s,Tackles attempted,Tackles won,Tackles in defensive third,Tackles in middle third,Tackles in attacking third,Dribbles tackled,Dribbles challenged,Percentage of dribbles tackled,Challenges lost,Blocks attempted,Blocked shots,Blocked passes,Interceptions,Tackles+Interceptions,Clearances,Errors
Amelia Abbott,Wellington Phoenix,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ella Abdul Massih,Perth Glory,4.5,5.33,3.33,3.33,1.11,0.89,3.56,5.56,64,2,1.56,0,1.56,1.33,6.67,2.44,0
Claire Adams,Newcastle Jets,3.9,2.31,2.05,0.77,1.03,0.51,1.03,2.31,44.4,1.28,1.79,0,1.79,0.77,3.08,0.51,0
Josie Allan,Newcastle Jets,9.4,1.38,0.74,0.43,0.96,0,0.43,1.28,33.3,0.85,0.64,0,0.64,0.21,1.6,0.11,0
Lauren Allan,Newcastle Jets,17.4,1.55,1.15,0.63,0.4,0.52,0.57,0.86,66.7,0.29,1.15,0.17,0.98,0.52,2.07,1.55,0
Mischa Anderson,Perth Glory,1.3,2.31,1.54,1.54,0,0.77,0.77,3.85,20,3.08,1.54,0,1.54,0.77,3.08,3.85,0
Liz Anton,Canberra Utd,19,2.11,1.47,1.21,0.79,0.11,0.79,1.16,68.2,0.37,2.47,1.58,0.89,2.16,4.26,6.53,0
Alexia Apostolakis,Melb City,21.7,2.76,2.21,1.43,1.11,0.23,1.29,1.61,80,0.32,1.15,0.41,0.74,1.38,4.15,2.3,0.05
Madison Ayson,Canberra Utd,14,1.86,1.5,1.29,0.43,0.14,0.93,1.71,54.2,0.79,1.07,0.57,0.5,1.36,3.21,6,0.07
Melissa Barbieri,Melb City,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77
Mackenzie Barry,Wellington Phoenix,20.5,2.73,2.05,1.41,1.07,0.24,0.78,1.37,57.1,0.59,1.12,0.63,0.49,1.8,4.54,5.27,0.15
Lorena Baumann,Newcastle Jets,21.2,3.49,2.36,1.89,1.32,0.28,1.27,2.22,57.4,0.94,0.94,0.19,0.75,1.89,5.38,3.68,0.05
