Player,Squad,90s,Shot-creating Actions,SCA Live-ball passes,SCA Dead-ball passes,SCA Take-ons,SCA Shots,SCA Fouled,SCA Defensive actions,Goal-creating Actions,GCA Live-ball passes,GCA Dead-ball passes,GCA Take-ons,GCA Shots,GCA Fouled,GCA Defensive actions
Amelia Abbott,Wellington Phoenix,0.5,6.14,4,0,0,2,0,0,0,0,0,0,0,0,0
Ella Abdul Massih,Perth Glory,4.5,3.1,1.11,0.22,0.22,0.44,0.67,0.44,0.22,0,0,0,0,0.22,0
Claire Adams,Newcastle Jets,3.9,2.54,1.28,0.51,0.26,0.26,0.26,0,0.25,0.26,0,0,0,0,0
Josie Allan,Newcastle Jets,9.4,2.75,2.02,0,0.43,0.11,0.21,0,0.42,0.21,0,0.21,0,0,0
Lauren Allan,Newcastle Jets,17.4,3.04,2.07,0.17,0.34,0.29,0.11,0.06,0.23,0.11,0,0,0.11,0,0
Mischa Anderson,Perth Glory,1.3,0.76,0.77,0,0,0,0,0,0,0,0,0,0,0,0
Liz Anton,Canberra Utd,19,0.47,0.32,0,0,0.11,0,0.05,0.05,0,0,0,0.05,0,0
Alexia Apostolakis,Melb City,21.7,1.61,0.88,0.69,0.05,0,0,0,0.23,0.14,0.09,0,0,0,0
Madison Ayson,Canberra Utd,14,0.79,0.5,0.07,0,0.14,0,0.07,0.21,0.14,0,0,0.07,0,0
Melissa Barbieri,Melb City,1.3,0.78,0.77,0,0,0,0,0,0.78,0.77,0,0,0,0,0
Mackenzie Barry,Wellington Phoenix,20.5,0.88,0.49,0,0,0.2,0.1,0.1,0.05,0.05,0,0,0,0,0
Lorena Baumann,Newcastle Jets,21.2,3.25,2.08,0.99,0.05,0.05,0.09,0,0.14,0.14,0,0,0,0,0
Amelia Bennett,W Sydney,6.8,1.17,0.88,0.15,0,0,0.15,0,0.29,0.15,0,0,0,0.15,0
Tegan Bertolissio,Canberra Utd,13.6,0.88,0.59,0.15,0,0,0,0.15,0.07,0.07,0,0,0,0,0
Jasmine Black,Sydney FC,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea Blissett,Brisbane Roar,19.5,2.67,1.64,0.77,0,0.1,0.1,0.05,0.41,0.31,0.1,0,0,0,0
Lourdes Bosch,Melb City,19.5,4.11,2.51,0.15,0.77,0.26,0.36,0.05,0.82,0.51,0,0.15,0.05,0.05,0.05
Katie Bowler,Adelaide Utd,3.7,1.64,1.08,0.27,0,0,0.27,0,0,0,0,0,0,0,0
Jaya Bowman,Canberra Utd,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daisy Brazendale,Wellington Phoenix,10.5,1.24,1.05,0,0,0.1,0.1,0,0,0,0,0,0,0,0
India Breier,Newcastle Jets,5.3,3.77,2.45,0.38,0.57,0.19,0.19,0,0.19,0.19,0,0,0,0,0
Ava Briedis,Melb Victory,0.5,1.91,2,0,0,0,0,0,1.91,2,0,0,0,0,0
Ischia Brooking,Perth Glory,0.2,4.74,5,0,0,0,0,0,0,0,0,0,0,0,0
Kelli Brown,Perth Glory,11.3,2.66,1.42,0.27,0.18,0.53,0.18,0.09,0.35,0.18,0.09,0,0.09,0,0
Faye Bryson,Sydney FC,12.9,1.47,0.93,0.31,0.16,0,0.08,0,0,0,0,0,0,0,0
Ella Buchanan,W Sydney,16.4,1.16,0.79,0.12,0,0,0.06,0.18,0,0,0,0,0,0,0
Claudia Bunge,Melb Victory,22,1.23,1.14,0,0,0,0.05,0.05,0.27,0.23,0,0,0,0.05,0
Holly Caspers,W Sydney,3,2.36,2.33,0,0,0,0,0,0.34,0.33,0,0,0,0,0
