Player,Squad,90s,Yellow cards,Red cards,Two yellow cards,Fouls committed,Fouls drawn,Offsides,Crosses attempted,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Ball recoveries,Aerial duels won,Aerial duels lost,Aerial duels won percentage
Amelia Abbott,Wellington Phoenix,0.5,0,0,0,0,2,0,0,0,0,0,0,0,8,2,0,100
Ella Abdul Massih,Perth Glory,4.5,0.22,0,0,1.78,2,0,2,1.33,3.33,0,0,0,5.11,1.11,1.78,38.5
Claire Adams,Newcastle Jets,3.9,0,0,0,1.03,1.28,0.26,3.85,0.77,2.05,0,0,0,5.13,0.77,0.26,75
Josie Allan,Newcastle Jets,9.4,0.11,0,0,0.53,1.91,0.11,3.09,0.21,0.74,0,0,0,2.02,0.21,0.64,25
Lauren Allan,Newcastle Jets,17.4,0,0,0,0.86,0.4,0.69,4.37,0.52,1.15,0,0,0,3.16,1.21,1.55,43.8
Mischa Anderson,Perth Glory,1.3,0,0,0,3.08,0,0,0,0.77,1.54,0,0,0,7.69,1.54,0,100
Liz Anton,Canberra Utd,19,0,0,0,0.47,0.26,0,0.26,2.16,1.47,0,0.05,0,4.37,0.89,1.11,44.7
Alexia Apostolakis,Melb City,21.7,0.05,0,0,0.51,0.55,0,2.67,1.38,2.21,0,0,0,5.99,0.41,0.74,36
Madison Ayson,Canberra Utd,14,0.07,0,0,0.21,0.64,0,0.36,1.36,1.5,0,0,0.07,4.36,0.29,0.29,50
Melissa Barbieri,Melb City,1.3,0,0,0,0,0,0,0,0,0,0,0,0.77,2.31,0,0,0
Mackenzie Barry,Wellington Phoenix,20.5,0.1,0,0,0.78,0.68,0.05,0.05,1.8,2.05,0,0.05,0,5.46,0.93,0.29,76
Lorena Baumann,Newcastle Jets,21.2,0.19,0.05,0,0.94,1.37,0.14,3.73,1.89,2.36,0,0,0,7.78,0.33,0.47,41.2
Amelia Bennett,W Sydney,6.8,0,0,0,0.29,1.47,0,0.59,1.76,1.47,0.15,0,0,6.91,0.44,0.15,75
Tegan Bertolissio,Canberra Utd,13.6,0.22,0,0,1.76,0.74,0,1.18,2.06,3.53,0,0,0,3.75,0.74,0.22,76.9
Jasmine Black,Sydney FC,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.96,0,100
Chelsea Blissett,Brisbane Roar,19.5,0.21,0,0,1.23,0.97,0,2.67,1.74,2.41,0,0,0,5.49,1.03,0.87,54.1
Lourdes Bosch,Melb City,19.5,0.21,0,0,1.74,2.36,0.46,1.54,1.18,1.23,0,0.05,0,4.72,0.46,0.51,47.4
Katie Bowler,Adelaide Utd,3.7,0,0,0,0,1.89,0.27,1.35,0.54,1.08,0,0,0,2.97,0,0.54,0
Jaya Bowman,Canberra Utd,0.1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Daisy Brazendale,Wellington Phoenix,10.5,0.19,0,0,0.67,1.24,0,0.29,1.62,1.52,0,0,0,4.29,0.67,1.05,38.9
India Breier,Newcastle Jets,5.3,0,0,0,0.38,0.75,0,7.17,0.38,1.7,0,0,0,3.58,0.19,0.94,16.7
Ava Briedis,Melb Victory,0.5,0,0,0,4,2,0,0,2,4,0,0,0,6,2,2,50
Ischia Brooking,Perth Glory,0.2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Kelli Brown,Perth Glory,11.3,0.18,0,0,1.33,0.27,0.88,2.12,0.18,0.53,0,0,0,3.81,0.44,1.06,29.4
Faye Bryson,Sydney FC,12.9,0.16,0,0,1.09,1.16,0,1.01,3.02,3.33,0,0,0,5.66,1.09,1.4,43.8
Ella Buchanan,W Sydney,16.4,0.06,0,0,0.73,0.61,0,1.04,2.93,2.56,0,0.06,0,7.38,0.67,0.98,40.7
Claudia Bunge,Melb Victory,22,0.23,0,0,0.59,0.14,0,0.18,1.45,1.05,0,0,0,4.27,0.95,0.82,53.8
Holly Caspers,W Sydney,3,0,0,0,0.67,1.33,1.33,1.67,0,0,0,0,0,2,1.67,2.67,38.5
Madeleine Caspers,Sydney FC,16.7,0.06,0,0,0.6,0.42,0.42,0.48,0.72,1.92,0,0,0,5.69,0.48,1.32,26.7
Amelia Cassar,W Sydney,0.9,0,0,0,0,0,0,1.11,3.33,1.11,0,0,0,2.22,0,2.22,0
Georgia Cassidy,Perth Glory,13.9,0.22,0,0,0.79,0.79,0,3.02,1.94,1.8,0,0,0,6.62,0.36,0.29,55.6
Alana Cerne,Western United,8.7,0.34,0,0,0.69,0.34,0,0.34,1.03,0.34,0,0,0,5.75,0.46,1.61,22.2
Margaux Chauvet,Sydney FC,9.3,0.22,0,0,1.72,0.54,0,0.22,1.61,2.37,0,0,0,6.99,1.18,1.51,44
Amy Chessari,W Sydney,21.3,0.09,0,0,1.6,0.89,0,0.23,2.02,3.66,0,0,0,8.64,0.23,0.56,29.4
Alex Chidiac,Melb Victory,21.3,0.09,0,0,0.7,2.21,0.05,1.22,1.5,1.97,0.05,0,0,8.83,0.23,0.47,33.3
Sofia Christopherson,Canberra Utd,19.8,0.1,0,0,0.51,0.96,0.15,1.57,0.71,2.07,0,0,0,4.24,0.56,0.96,36.7
Claudia Cicco,Newcastle Jets,20.8,0.1,0.05,0,1.2,0.58,0,1.11,1.68,2.36,0,0.05,0,4.52,0.77,0.48,61.5
Abbey Clarke,Adelaide Utd,0.8,0,0,0,2.5,3.75,0,2.5,1.25,5,0,0,0,10,0,0,0
Alexis Collins,Newcastle Jets,3.1,0.32,0,0,0.65,0.32,1.61,0.97,0.32,1.29,0,0,0,2.26,0.65,0,100
