Player,Squad,90s,Passes completed,Passes attempted,Pass completion percentage,Total pass distance,Total progressive distance,Short passes completed,Short passes attempted,Short pass completion percentage,Medium passes completed,Medium passes attempted,Medium pass completion percentage,Long passes completed,Long passes attempted,Long pass completion percentage,Assists,Expected Assist Goals,Expected Assists,Assist overperformance,Key passes,Passes into final third,Passes into penalty box,Crosses into Penalty Area,Progressive passes
Amelia Abbott,Wellington Phoenix,0.5,40,58,69,796,462,10,18,55.6,22,24,91.7,6,14,42.9,0,0,0,0,0,10,0,0,18
Ella Abdul Massih,Perth Glory,4.5,23.1,35.8,64.6,365.6,149.6,11.8,14.7,80.3,9.11,13.8,66.1,1.33,5.11,26.1,0,0.09,0.16,-0.09,0.89,2,0.44,0,3.33
Claire Adams,Newcastle Jets,3.9,17.9,30.5,58.8,284.6,83.6,11.3,15.1,74.6,3.08,6.15,50,2.56,7.18,35.7,0.26,0.1,0.1,0.15,1.54,0.77,0.26,0.26,2.56
Josie Allan,Newcastle Jets,9.4,12.3,20.5,60.1,202,78.5,5.21,8.19,63.6,6.06,9.04,67.1,0.64,1.7,37.5,0.11,0.19,0.14,-0.09,1.6,1.17,1.28,0.43,3.19
Lauren Allan,Newcastle Jets,17.4,17.1,31.1,54.8,294.8,133.9,7.53,11.3,66.8,7.76,13.8,56.3,1.49,3.91,38.2,0.11,0.24,0.25,-0.12,1.49,1.55,1.95,1.03,3.05
Mischa Anderson,Perth Glory,1.3,18.5,30.8,60,337.7,77.7,6.15,9.23,66.7,10.8,14.6,73.7,1.54,4.62,33.3,0,0,0,0,0.77,0.77,0,0,1.54
Liz Anton,Canberra Utd,19,28.1,37.2,75.4,664.6,245.3,5,6.42,77.9,17.2,19.6,87.9,5.68,10.3,55.1,0,0,0.02,0,0.11,2.11,0.11,0,1.89
Alexia Apostolakis,Melb City,21.7,51.8,65.4,79.1,987.7,357.1,17.9,20.9,85.5,28.3,33.5,84.5,5.16,9.22,56,0.14,0.08,0.11,0.06,0.74,2.95,0.37,0.09,3.87
Madison Ayson,Canberra Utd,14,25.9,38,68,587.7,277.9,6.5,8.57,75.8,14,16.8,83.4,5.14,11.4,45,0,0,0.01,0,0.07,3.57,0.29,0,3.14
Melissa Barbieri,Melb City,1.3,28.5,34.6,82.2,673.8,497.7,8.46,8.46,100,13.8,14.6,94.7,6.15,11.5,53.3,0,0,0,0,0,0,0,0,0
