Player,Squad,90s,Touches made,Touches in defensive box,Touches in defensive third,Touches in middle third,Touches in attacking third,Touches in attacking box,Live-ball touches,Take-ons attempted,Take-ons successful,Take-ons successful rate,Tackled take-ons,Tackled take-ons percentage,Carries made,Total carry distance,Total progressive carry distance,Progressive carries,Carries into final third,Carries into penalty box,Miscontrols,Dispossessed,Passes received,Progressive passes received
Amelia Abbott,Wellington Phoenix,0.5,64,0,12,34,22,4,64,0,0,0,0,0,26,112,38,0,4,0,4,0,34,6
Ella Abdul Massih,Perth Glory,4.5,51.3,2.44,14,22.4,16.2,1.11,51.3,2.89,1.56,53.8,1.33,46.2,17.3,70.4,16,0.67,0.67,0,3.11,1.56,22,4
Claire Adams,Newcastle Jets,3.9,44.1,1.03,8.21,16.9,19.7,3.85,44.1,1.03,0.26,25,0.77,75,19,130.8,67.4,2.31,0.77,0.77,3.59,0.77,25.6,2.82
Josie Allan,Newcastle Jets,9.4,34.1,0,3.09,11.9,19.9,4.47,34.1,5.43,2.34,43.1,3.09,56.9,22.6,190.6,86.6,2.77,2.02,0.96,2.98,2.34,24.7,7.13
Lauren Allan,Newcastle Jets,17.4,44.1,1.38,7.53,16.4,21.2,4.54,44.1,3.1,1.32,42.6,1.78,57.4,21.2,148.7,74.3,2.7,1.09,0.98,2.87,1.15,26.1,8.51
Mischa Anderson,Perth Glory,1.3,48.5,3.85,20,19.2,10,0,48.5,3.08,0.77,25,2.31,75,13.8,40.8,13.1,0,0.77,0,1.54,2.31,17.7,0.77
Liz Anton,Canberra Utd,19,52.1,8.74,33.4,16.5,2.47,0.79,52.1,0.32,0.16,50,0.16,50,22.1,130.8,66.4,0.68,0.21,0,0.37,0.16,25.5,0.11
Alexia Apostolakis,Melb City,21.7,76,4.01,28.3,34.9,13.5,0.46,76,1.01,0.46,45.5,0.55,54.5,35,196.6,92.2,1.24,0.92,0.18,1.75,0.83,39.4,1.34
Madison Ayson,Canberra Utd,14,51.7,7.43,29.5,19.3,3.43,1.21,51.7,0.79,0.5,63.6,0.29,36.4,22.4,149.2,105.5,0.93,0.43,0.07,1.21,0.43,25.5,0.36
Melissa Barbieri,Melb City,1.3,36.2,33.1,36.2,0,0,0,36.2,0,0,0,0,0,23.8,111.5,45.4,0,0,0,0,0,23.8,0
Mackenzie Barry,Wellington Phoenix,20.5,57.6,6.49,32,24.1,1.8,0.73,57.6,0.24,0.1,40,0.15,60,23.8,119.7,62.3,0.39,0.1,0,1.02,0.39,29.9,0.24
Lorena Baumann,Newcastle Jets,21.2,81.3,4.86,32.6,33,16.5,0.38,81.3,1.04,0.47,45.5,0.57,54.5,28.7,144.6,75.2,0.66,0.47,0,1.75,0.57,36.9,1.75
Amelia Bennett,W Sydney,6.8,61.5,4.85,31.5,23.7,6.91,0,61.5,1.62,0.59,36.4,1.03,63.6,26.5,114.9,52.9,0.44,0.44,0,1.03,1.03,32.4,1.62
Tegan Bertolissio,Canberra Utd,13.6,59.5,4.85,25.9,23.6,10.4,0.22,59.5,0.29,0.15,50,0.15,50,15.1,68.8,31.8,0.44,0.44,0.07,0.96,0.22,22.1,1.47
Jasmine Black,Sydney FC,5.2,23.5,22.5,23.3,0.19,0,0,23.5,0,0,0,0,0,6.54,46.7,35,0,0,0,0.19,0,3.08,0
Chelsea Blissett,Brisbane Roar,19.5,72.1,4.36,35.2,28.9,8.62,0.51,72.1,0.56,0.21,36.4,0.36,63.6,29.5,124.4,67.2,0.87,0.62,0,1.38,0.15,37.2,0.82
Lourdes Bosch,Melb City,19.5,47.4,0.46,8,17.9,22.2,4.05,47.4,7.33,3.08,42,4.26,58,28.9,188.4,83.7,2.97,2,1.59,4.05,2.51,30.4,8.31
Katie Bowler,Adelaide Utd,3.7,41.1,0.54,11.1,16.2,14.1,2.16,41.1,1.62,0.81,50,0.81,50,14.9,63.2,10.3,0.27,0,0.54,1.89,1.89,22.4,4.05
Jaya Bowman,Canberra Utd,0.1,30,0,20,10,0,0,30,0,0,0,0,0,10,30,30,0,0,0,0,0,10,0
Daisy Brazendale,Wellington Phoenix,10.5,43.5,1.81,11,25,7.71,0.38,43.5,0.29,0,0,0.29,100,17.2,64.8,21.2,0.1,0.48,0.1,1.71,1.43,23.9,1.52
India Breier,Newcastle Jets,5.3,47.5,0.75,8.87,18.9,20.4,2.64,47.5,4.15,1.7,40.9,2.45,59.1,23.2,143.8,68.5,2.45,1.32,1.13,3.77,2.26,30.6,8.87
Ava Briedis,Melb Victory,0.5,74,2,16,34,24,4,74,8,0,0,8,100,32,178,80,2,0,0,4,8,38,2
Ischia Brooking,Perth Glory,0.2,70,0,5,45,20,0,70,0,0,0,0,0,35,175,15,0,0,0,10,10,45,5
Kelli Brown,Perth Glory,11.3,34.6,0.09,2.21,12.8,20.3,4.34,34.5,2.57,0.97,37.9,1.59,62.1,18.4,100,35,0.97,1.24,0.18,3.89,2.48,21.8,6.64
Faye Bryson,Sydney FC,12.9,66.9,2.87,21.6,33.5,12.4,0.85,66.9,1.32,0.54,41.2,0.78,58.8,21.2,128.3,51.2,1.09,1.01,0.31,1.63,0.93,26.2,1.71
Ella Buchanan,W Sydney,16.4,63.5,5.98,31.6,23.2,9.57,0.24,63.5,0.91,0.3,33.3,0.61,66.7,23.6,128.2,60.9,1.1,0.98,0.12,1.71,0.91,28.8,1.46
Claudia Bunge,Melb Victory,22,62.3,8.32,37.4,23.4,1.95,1.09,62.3,0.59,0.32,53.8,0.27,46.2,28.8,161.1,103.6,0.45,0.18,0,0.55,0.23,38.5,0.05
Holly Caspers,W Sydney,3,46.3,0.67,3,17.7,26,8.33,46.3,4,1.33,33.3,2.67,66.7,27.3,136.7,26,2,0.67,1,7,4,34,9
Madeleine Caspers,Sydney FC,16.7,45.7,0.96,7.19,21.8,17.1,3.05,45.7,1.62,0.66,40.7,0.96,59.3,18.9,72.2,28.9,0.54,0.54,0.42,3.53,1.98,27.2,5.21
Amelia Cassar,W Sydney,0.9,34.4,0,6.67,16.7,11.1,1.11,34.4,0,0,0,0,0,13.3,44.4,10,1.11,0,0,5.56,2.22,16.7,0
Georgia Cassidy,Perth Glory,13.9,52.4,4.03,19.1,27.5,6.83,0.14,52.4,1.29,0.72,55.6,0.58,44.4,19.7,95.6,33.8,0.5,0.58,0,0.94,0.65,26,0.36
Alana Cerne,Western United,8.7,54.5,9.77,34.6,18.3,1.95,0.69,54.5,0.57,0.23,40,0.34,60,24.3,137.7,77.7,0.23,0,0,1.15,0.34,28.6,0.23
Margaux Chauvet,Sydney FC,9.3,50.1,2.15,16,30,5.16,0.43,50.1,0.97,0.54,55.6,0.43,44.4,19.7,101.4,44.8,0.43,0.32,0.22,1.83,0.32,23.2,1.4
Amy Chessari,W Sydney,21.3,55,1.92,16.7,27.5,11.9,0.7,55,2.11,1.5,71.1,0.61,28.9,22.2,114,42.3,0.7,0.7,0,1.83,1.6,29.5,1.27
Alex Chidiac,Melb Victory,21.3,56.9,1.03,10.8,31.5,15.7,1.36,56.9,1.46,0.85,58.1,0.61,41.9,29.5,200.9,92.1,2.25,1.74,0.23,2.63,1.03,34.5,2.68
Sofia Christopherson,Canberra Utd,19.8,43.6,2.27,13.9,17.2,13,1.92,43.6,3.38,1.31,38.8,2.07,61.2,16.5,104.5,45.5,1.46,1.01,0.66,2.53,2.68,18.6,4.04
Claudia Cicco,Newcastle Jets,20.8,62,7.5,30.7,23.9,7.88,0.29,62,0.43,0.14,33.3,0.29,66.7,19.2,86.8,46.9,0.58,0.63,0,0.82,0.48,25.2,0.91
Abbey Clarke,Adelaide Utd,0.8,46.3,0,8.75,26.3,11.3,1.25,46.3,0,0,0,0,0,22.5,120,53.8,1.25,0,1.25,3.75,0,23.8,2.5
Alexis Collins,Newcastle Jets,3.1,30.6,0,0.32,11.3,19.4,5.81,30.6,0.32,0.32,100,0,0,18.4,91.3,31,1.29,1.61,0.97,6.45,2.9,24.2,5.81
Emily Condon,Adelaide Utd,17.8,46.3,0.22,4.38,21.3,21.1,1.97,46.2,2.92,1.18,40.4,1.74,59.6,23.8,130.1,48.1,1.63,1.12,0.17,3.54,2.58,31.2,3.99
Shea Connors,Sydney FC,9.7,35.1,0.21,3.2,12.3,20.3,4.54,35.1,3.2,1.55,48.4,1.55,48.4,20.6,135.3,45.3,1.65,1.34,0.93,2.58,2.47,24.5,7.01
Libby Copus-Brown,Newcastle Jets,18.9,43.3,1.01,7.83,19.4,16.8,1.85,43.3,1.8,0.85,47.1,0.95,52.9,20.1,95.4,35,0.53,0.74,0.16,2.7,1.11,26.2,4.29
Alana Cortellino,Western United,1.3,30.8,0,3.08,15.4,12.3,2.31,30.8,3.85,0,0,3.85,100,21.5,122.3,21.5,0,0,0.77,5.38,3.85,23.1,9.23
Rosie Curtis,Melb Victory,5.7,53.5,4.39,27.9,20.2,5.44,0,53.5,1.23,0.53,42.9,0.7,57.1,16.7,75.8,36.5,0.35,0.35,0,1.93,0.7,26.7,0.18
Ruby Cuthbert,Brisbane Roar,0.5,54,2,30,16,8,2,54,0,0,0,0,0,16,76,48,0,2,0,4,0,26,0
Sara D'Appolonia,Melb Victory,19.2,52.8,1.35,12.8,27.6,13,0.63,52.8,1.51,0.94,62.1,0.57,37.9,23.2,139.3,59.8,1.61,1.04,0.21,2.4,1.46,28.2,3.33
Alyssa Dall'Oste,Western United,8,35.6,30.3,35.3,0,0.38,0.13,35.6,0,0,0,0,0,19.1,100.1,55.8,0,0,0,0.13,0,14.9,0
Isobel Dalton,Perth Glory,17,56.8,1.53,12.9,30.3,14,1.41,56.8,1.12,0.59,52.6,0.47,42.1,20.5,80.8,33,0.71,0.88,0,2.35,1.53,30.4,2.59
Leah Davidson,Melb City,16.3,44.8,1.35,10.4,24.3,10.9,1.47,44.8,1.29,0.49,38.1,0.8,61.9,23.8,122.5,51.3,1.17,0.86,0.25,2.58,1.35,29,2.76
Cassidy Davis,Newcastle Jets,23,54,3.87,17.9,24.6,12.2,2.04,54,0.7,0.22,31.3,0.48,68.8,19.2,83.8,31,0.43,0.48,0.3,1,0.57,28.5,1.78
Chelsie Dawber,Adelaide Utd,13.9,44.3,0.79,4.89,18.7,21.4,4.75,44.2,1.15,0.36,31.3,0.79,68.8,22.9,112.7,48.3,1.8,0.72,1.01,3.38,1.73,30.6,8.71
Kiara De Domizio,Western United,4.4,37,0.68,4.55,12.3,20.7,4.09,37,2.95,1.14,38.5,1.82,61.5,21.8,139.1,47.7,3.18,0.45,0.68,6.36,2.95,23.9,7.95
Deborah De La Harpe,Brisbane Roar,20.4,58.8,1.91,18.4,22.8,18,1.08,58.8,1.18,0.39,33.3,0.78,66.7,23.6,116.9,62.3,1.72,1.03,0.34,1.27,0.93,29.6,4.12
