Player,Squad,90s,Passes attempted,Live-ball Passes,Dead-ball Passes,Free-kick Passes,Through balls,Switch-plays,Crosses attempted,Throw-ins,Corner kicks,Inswinging corners,Outswinging corners,Straight corners,Passes completed,Offside passes,Blocked passes
Amelia Abbott,Wellington Phoenix,0.5,58,52,6,0,0,0,0,6,0,0,0,0,40,0,0
Ella Abdul Massih,Perth Glory,4.5,35.8,29.8,5.56,0.67,0,0,2,3.56,0.89,0.22,0.67,0,23.1,0.44,0.44
Claire Adams,Newcastle Jets,3.9,30.5,27.2,3.33,0.51,0.51,0,3.85,0.26,2.31,1.28,0.26,0,17.9,0,0.77
Josie Allan,Newcastle Jets,9.4,20.5,18.6,1.81,0,0,0,3.09,1.38,0.11,0,0.11,0,12.3,0.11,0.64
Lauren Allan,Newcastle Jets,17.4,31.1,27.2,3.91,0.06,0.06,0,4.37,3.74,0,0,0,0,17.1,0.06,1.15
Mischa Anderson,Perth Glory,1.3,30.8,26.2,3.85,2.31,0,0,0,1.54,0,0,0,0,18.5,0.77,1.54
Liz Anton,Canberra Utd,19,37.2,35.4,1.74,0.74,0,0.37,0.26,0.89,0,0,0,0,28.1,0.05,0.53
Alexia Apostolakis,Melb City,21.7,65.4,49.4,15.9,2.26,0,0.28,2.67,11.1,2.21,1.38,0.51,0,51.8,0.09,0.88
Madison Ayson,Canberra Utd,14,38,34.4,3.57,2.21,0,0.21,0.36,1,0,0,0,0,25.9,0.07,0.64
Melissa Barbieri,Melb City,1.3,34.6,30.8,3.85,0.77,0,0,0,0,0,0,0,0,28.5,0,0
Mackenzie Barry,Wellington Phoenix,20.5,44.4,42,2.34,1.22,0,0.15,0.05,0.98,0,0,0,0,35.8,0.1,0.54
Lorena Baumann,Newcastle Jets,21.2,69,50.7,18.1,2.59,0,0.09,3.73,13.1,2.31,0.47,1.04,0.14,48.3,0.28,1.7
Amelia Bennett,W Sydney,6.8,48.5,41.3,7.21,1.32,0,0.29,0.59,5.88,0,0,0,0,33.8,0,2.06
Tegan Bertolissio,Canberra Utd,13.6,44.6,32,12.5,0.88,0,0.15,1.18,11.5,0.07,0,0.07,0,28.1,0.15,0.74
Jasmine Black,Sydney FC,5.2,20.4,10.8,9.62,0.77,0,0,0,0,0,0,0,0,13.7,0,0
Chelsea Blissett,Brisbane Roar,19.5,59.8,50.9,8.87,3.18,0.05,0.05,2.67,4.26,1.38,1.28,0.05,0,44.8,0.05,0.72
Lourdes Bosch,Melb City,19.5,29.7,28.2,1.54,0.41,0.05,0.15,1.54,0.46,0.46,0.26,0,0,19.5,0,0.87
Katie Bowler,Adelaide Utd,3.7,30.3,26.5,3.51,0.54,0,0.27,1.35,2.43,0.27,0.27,0,0,19.7,0.27,0.27
Jaya Bowman,Canberra Utd,0.1,20,20,0,0,0,0,0,0,0,0,0,0,10,0,0
Daisy Brazendale,Wellington Phoenix,10.5,33.2,31.7,1.33,0.57,0,0.1,0.29,0.38,0.1,0.1,0,0,26,0.19,0.38
India Breier,Newcastle Jets,5.3,33.4,28.9,4.53,0.94,0,0.19,7.17,1.32,2.08,1.32,0.19,0,21.5,0,0.57
Ava Briedis,Melb Victory,0.5,40,40,0,0,0,0,0,0,0,0,0,0,36,0,0
Ischia Brooking,Perth Glory,0.2,50,45,5,0,0,0,0,0,0,0,0,0,25,0,10
Kelli Brown,Perth Glory,11.3,21.7,17.3,4.16,0.27,0,0.09,2.12,1.5,0.88,0.8,0,0,13,0.18,0.8
Faye Bryson,Sydney FC,12.9,49.9,35.8,13.9,0.85,0,0.08,1.01,12.9,0.08,0,0,0,29.1,0.23,0.93
Ella Buchanan,W Sydney,16.4,47.7,40.5,7.07,1.34,0.06,0.06,1.04,5.67,0,0,0,0,34.2,0.12,0.91
Claudia Bunge,Melb Victory,22,50.7,48.9,1.73,1.64,0.09,0.05,0.18,0.05,0,0,0,0,38.6,0.14,0.36
Holly Caspers,W Sydney,3,29.7,27.3,2.33,0,0,0.33,1.67,0.67,0,0,0,0,19.7,0,0.67
