Player,Nation,Pos,Squad,Age,Born,Contract expiry,Matches played,Minutes played,Minutes per match,Mins played %,90s,Starts,Minutes per start,Complete matches played,Subs appearances,Minutes per sub appearances,Unused sub
Amelia Abbott,NZL,"DF,FW",Wellington Phoenix,23,2001,2025,4,45,11,2.2,0.5,0,0,0,4,11,1
Ella Abdul Massih,AUS,"MF,DF",Perth Glory,18,2006,2026,13,407,31,19.7,4.5,3,58,0,10,23,0
Isabella Accardo,AUS,MF,Melb City,18,2005,2025,0,0,0,0,0,0,0,0,0,0,2
Claire Adams,AUS,"MF,FW",Newcastle Jets,17,2006,2025,16,354,22,17.1,3.9,2,66,0,14,16,0
Josie Allan,AUS,"FW,MF",Newcastle Jets,18,2006,2027,15,849,57,41,9.4,10,70,3,5,31,0
Lauren Allan,AUS,"MF,DF",Newcastle Jets,27,1996,2025,21,1568,75,75.7,17.4,17,86,9,4,28,0
Mischa Anderson,AUS,"FW,MF",Perth Glory,18,2005,2026,10,119,12,5.7,1.3,0,0,0,10,12,0
Elizabeth Anton,NZL,DF,Canberra Utd,25,1998,2025,19,1710,90,82.6,19,19,90,19,0,0,0
Alexia Apostolakis,AUS,DF,Melb City,18,2006,2026,23,1957,85,94.5,21.7,22,87,16,1,34,0
Madison Ayson,PHI,DF,Canberra Utd,24,2001,2025,14,1257,90,60.7,14,14,90,13,0,0,1
Melissa Barbieri,AUS,GK,Melb City,44,1980,2025,3,115,38,5.6,1.3,1,90,1,2,13,20
Mackenzie Barry,NZL,DF,Wellington Phoenix,23,2001,2026,21,1845,88,89.1,20.5,21,88,20,0,0,0
Lorena Baumann,SUI,DF,Newcastle Jets,27,1997,2025,22,1910,87,92.3,21.2,22,87,19,0,0,0
Amelia Bennett,AUS,"DF,MF",W Sydney,16,2008,2026,16,615,38,29.7,6.8,6,72,3,10,18,4
Tegan Bertolissio,AUS,"DF,MF",Canberra Utd,17,2006,2026,21,1223,58,59.1,13.6,14,77,9,7,21,0
Jasmine Black,AUS,GK,Sydney FC,18,2006,2025,6,469,78,22.7,5.2,5,90,5,1,19,3
Chelsea Blissett,AUS,DF,Brisbane Roar,24,2000,2025,20,1755,88,84.8,19.5,20,88,17,0,0,0
Ally Boertje,AUS,GK,Newcastle Jets,21,2003,2025,0,0,0,0,0,0,0,0,0,0,6
Lourdes Bosch,MEX,"MF,FW",Melb City,22,2001,2025,22,1753,80,84.7,19.5,20,84,11,2,36,0
Katie Bowler,AUS,"MF,DF",Adelaide Utd,21,2002,2026,11,330,30,15.9,3.7,2,69,0,9,21,0
Jaya Bowman,AUS,MF,Canberra Utd,17,2006,2025,1,7,7,0.3,0.1,0,0,0,1,7,0
Daisy Brazendale,NZL,"MF,DF",Wellington Phoenix,18,2006,2026,18,947,53,45.7,10.5,11,71,3,7,23,5
India Breier,AUS,"FW,MF",Newcastle Jets,18,2006,2026,13,477,37,23,5.3,6,64,0,7,14,4
Ava Briedis,AUS,"FW,MF",Melb Victory,18,2006,2025,6,47,8,2.3,0.5,0,0,0,6,8,3
Ischia Brooking,AUS,MF,Perth Glory,15,2008,2025,2,19,10,0.9,0.2,0,0,0,2,10,1
Kelli Brown,NZL,FW,Perth Glory,23,2001,2025,13,1015,78,49,11.3,11,85,7,2,40,0
Faye Bryson,ENG,"DF,MF",Sydney FC,27,1997,2025,17,1161,68,56.1,12.9,13,83,10,4,21,5
Ella Buchanan,AUS,DF,W Sydney,20,2004,2026,19,1472,77,71.1,16.4,18,80,11,1,31,0
