Player,Squad,90s,Goals,Shots attempted,Shots on Target attempted,Shots on Target percentage,Goals per Shot,Goals per Shot on Target,Average shot distance,Shots from Free kicks,Penalties scored,Penalties attempted,Expected Goals,Non-penalty xG,npxG per Shot,Goals overperformance,xG overperformance
Amelia Abbott,Wellington Phoenix,0.5,0,4,0,0,0,0,13.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Ella Abdul Massih,Perth Glory,4.5,0.22,2,0.67,33.3,0.11,0.33,26.9,0.44,0,0,0.11,0.11,0.05,0.11,0.11
Claire Adams,Newcastle Jets,3.9,0.26,2.05,1.28,62.5,0.13,0.2,17.3,0.51,0,0,0.21,0.21,0.1,0.05,0.05
Josie Allan,Newcastle Jets,9.4,0.32,2.45,0.74,30.4,0.13,0.43,17.7,0,0,0,0.27,0.27,0.11,0.05,0.05
Lauren Allan,Newcastle Jets,17.4,0.23,2.07,0.75,36.1,0.11,0.31,13.6,0,0,0,0.19,0.19,0.09,0.04,0.04
Mischa Anderson,Perth Glory,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liz Anton,Canberra Utd,19,0.05,0.58,0.11,18.2,0.09,0.5,14,0,0,0,0.08,0.08,0.14,-0.03,-0.03
Alexia Apostolakis,Melb City,21.7,0.09,0.65,0.23,35.7,0.14,0.4,24.1,0.14,0,0,0.03,0.03,0.04,0.06,0.06
Madison Ayson,Canberra Utd,14,0.14,0.86,0.29,33.3,0.17,0.5,11.5,0,0,0,0.09,0.09,0.1,0.06,0.06
Melissa Barbieri,Melb City,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mackenzie Barry,Wellington Phoenix,20.5,0,0.59,0.2,33.3,0,0,15.3,0,0,0,0.1,0.1,0.17,-0.1,-0.1
Lorena Baumann,Newcastle Jets,21.2,0,0.66,0.05,7.1,0,0,23.6,0.05,0,0,0.03,0.03,0.04,-0.03,-0.03
Amelia Bennett,W Sydney,6.8,0,0.15,0,0,0,0,24.3,0,0,0,0,0,0.03,0,0
Tegan Bertolissio,Canberra Utd,13.6,0,0.29,0,0,0,0,18,0,0,0,0.03,0.03,0.1,-0.03,-0.03
Jasmine Black,Sydney FC,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea Blissett,Brisbane Roar,19.5,0.05,0.41,0.05,12.5,0.13,1,12.5,0,0,0,0.06,0.06,0.15,-0.01,-0.01
Lourdes Bosch,Melb City,19.5,0.21,1.74,0.72,41.2,0.12,0.29,20.3,0.1,0,0,0.17,0.17,0.1,0.04,0.04
Katie Bowler,Adelaide Utd,3.7,0,0.54,0,0,0,0,18.7,0,0,0,0.03,0.03,0.05,-0.03,-0.03
Jaya Bowman,Canberra Utd,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daisy Brazendale,Wellington Phoenix,10.5,0,0.38,0.1,25,0,0,23.3,0,0,0,0.05,0.05,0.12,-0.05,-0.05
India Breier,Newcastle Jets,5.3,0,1.89,0.57,30,0,0,17.9,0.19,0,0,0.21,0.21,0.11,-0.21,-0.21
Ava Briedis,Melb Victory,0.5,2,2,2,100,1,1,19.9,0,0,0,0,0,0.04,2,2
Ischia Brooking,Perth Glory,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelli Brown,Perth Glory,11.3,0.44,3.81,1.86,48.8,0.09,0.19,19.8,0,0.09,0.09,0.5,0.44,0.12,-0.05,-0.09
Faye Bryson,Sydney FC,12.9,0,1.01,0.16,15.4,0,0,24.8,0,0,0,0.03,0.03,0.03,-0.03,-0.03
Ella Buchanan,W Sydney,16.4,0,0.37,0.18,50,0,0,25.3,0,0,0,0.01,0.01,0.04,-0.01,-0.01
Claudia Bunge,Melb Victory,22,0.09,0.45,0.14,30,0.2,0.67,7.4,0,0,0,0.07,0.07,0.15,0.02,0.02
Holly Caspers,W Sydney,3,1.33,2.67,1.67,62.5,0.5,0.8,11.5,0,0,0,0.63,0.63,0.24,0.7,0.7
Madeleine Caspers,Sydney FC,16.7,0.12,1.44,0.6,41.7,0.08,0.2,15.7,0,0,0,0.14,0.14,0.1,-0.02,-0.02
Amelia Cassar,W Sydney,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia Cassidy,Perth Glory,13.9,0.07,0.65,0.22,33.3,0.11,0.33,29.2,0.22,0,0,0.03,0.03,0.05,0.04,0.04
Alana Cerne,Western United,8.7,0,0.46,0,0,0,0,11,0,0,0,0.06,0.06,0.12,-0.06,-0.06
Margaux Chauvet,Sydney FC,9.3,0,0.43,0,0,0,0,24.1,0,0,0,0.01,0.01,0.03,-0.01,-0.01
Amy Chessari,W Sydney,21.3,0,0.8,0.33,41.2,0,0,24.7,0,0,0,0.03,0.03,0.04,-0.03,-0.03
Alex Chidiac,Melb Victory,21.3,0.09,1.17,0.33,28,0.08,0.29,21.4,0,0,0,0.08,0.08,0.07,0.01,0.01
Sofia Christopherson,Canberra Utd,19.8,0.1,0.61,0.3,50,0.17,0.33,12.6,0,0,0,0.07,0.07,0.11,0.04,0.04
Claudia Cicco,Newcastle Jets,20.8,0.05,0.24,0.1,40,0.2,0.5,19.4,0,0,0,0.01,0.01,0.06,0.03,0.03
Abbey Clarke,Adelaide Utd,0.8,0,1.25,0,0,0,0,30.2,0,0,0,0,0,0.04,0,0
Alexis Collins,Newcastle Jets,3.1,0,2.26,1.29,57.1,0,0,11.9,0,0,0,0.35,0.35,0.16,-0.35,-0.35
Emily Condon,Adelaide Utd,17.8,0.34,1.01,0.67,66.7,0.33,0.5,19.1,0.11,0,0,0.12,0.12,0.12,0.22,0.22
Shea Connors,Sydney FC,9.7,0.1,3.2,0.82,25.8,0.03,0.13,17.2,0,0,0,0.3,0.3,0.09,-0.2,-0.2
Libby Copus-Brown,Newcastle Jets,18.9,0,1.64,0.32,19.4,0,0,20,0.11,0,0,0.19,0.19,0.12,-0.19,-0.19
Alana Cortellino,Western United,1.3,0,0.77,0,0,0,0,11.2,0,0,0,0.08,0.08,0.08,-0.08,-0.08
Rosie Curtis,Melb Victory,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruby Cuthbert,Brisbane Roar,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sara D'Appolonia,Melb Victory,19.2,0.05,0.68,0.31,46.2,0.08,0.17,26.4,0,0,0,0.03,0.03,0.04,0.02,0.02
Alyssa Dall'Oste,Western United,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isobel Dalton,Perth Glory,17,0.12,1.94,0.29,15.2,0.06,0.4,25.9,0.18,0,0,0.17,0.17,0.09,-0.05,-0.05
Leah Davidson,Melb City,16.3,0,0.67,0.12,18.2,0,0,17.2,0,0,0,0.07,0.07,0.11,-0.07,-0.07
Cassidy Davis,Newcastle Jets,23,0.09,1.87,0.43,23.3,0.05,0.2,21.3,0,0,0,0.13,0.13,0.07,-0.05,-0.05
Chelsie Dawber,Adelaide Utd,13.9,0.58,2.81,1.44,51.3,0.18,0.35,16.4,0,0.07,0.07,0.42,0.37,0.13,0.15,0.13
Kiara De Domizio,Western United,4.4,0.45,3.18,1.14,35.7,0.14,0.4,18.3,0,0,0,0.25,0.25,0.08,0.2,0.2
Deborah De La Harpe,Brisbane Roar,20.4,0.1,0.98,0.29,30,0.1,0.33,18.3,0.05,0,0,0.07,0.07,0.07,0.03,0.03
Isabel Dehakiz,Western United,18,0,1.78,0.44,25,0,0,21.2,0,0,0,0.12,0.12,0.07,-0.12,-0.12
Sian Dewey,Adelaide Utd,10.6,0,1.13,0.19,16.7,0,0,24.3,0.09,0,0,0.05,0.05,0.04,-0.05,-0.05
Caitlin Doeglas,Perth Glory,5.3,0.57,2.64,1.89,71.4,0.21,0.3,20.2,0,0,0,0.36,0.36,0.14,0.21,0.21
Indiana Dos Santos,Sydney FC,19.6,0.15,1.63,0.82,50,0.09,0.19,22.6,0.15,0,0,0.12,0.12,0.07,0.03,0.03
Jynaya Dos Santos,Canberra Utd,4.6,0,2.83,0.65,23.1,0,0,19.9,0,0,0,0.22,0.22,0.08,-0.22,-0.22
Casey Dumont,Perth Glory,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emma Dundas,Newcastle Jets,15.8,0.06,0.89,0.25,28.6,0.07,0.25,21.8,0,0,0,0.05,0.05,0.06,0.01,0.01
Brianna Edwards,Sydney FC,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sara Eggesvik,Western United,16,0.13,1.38,0.44,31.8,0.09,0.29,17.2,0,0,0,0.08,0.08,0.06,0.04,0.04
Manaia Elliott,Wellington Phoenix,14.4,0.28,2.5,1.25,50,0.11,0.22,16,0,0,0,0.26,0.26,0.1,0.01,0.01
Shadeene Evans,Central Coast Mariners,6.8,0.15,2.21,0.74,33.3,0.07,0.2,22.3,0,0,0,0.13,0.13,0.06,0.01,0.01
Millie Farrow,Sydney FC,5.8,0.17,1.9,1.03,54.5,0.09,0.17,15.6,0,0,0,0.28,0.28,0.14,-0.1,-0.1
Aimee Feinberg-Danieli,Wellington Phoenix,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirsty Fenton,Sydney FC,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivia Fergusson,Wellington Phoenix,17.1,0.29,2.46,0.76,31,0.12,0.38,15.1,0,0,0,0.37,0.37,0.15,-0.08,-0.08
Gemma Ferris,W Sydney,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nickoletta Flannery,Melb Victory,20.1,0.25,1.94,0.9,46.2,0.13,0.28,16.7,0,0,0,0.18,0.18,0.09,0.07,0.07
Isabella Foletta,Perth Glory,5.6,0.18,0.36,0.18,50,0.5,1,24.3,0,0,0,0.02,0.02,0.04,0.16,0.16
Tahlia Franco,Sydney FC,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laini Freier,Brisbane Roar,14.1,0.64,2.2,1.06,48.4,0.29,0.6,18.9,0,0,0,0.28,0.28,0.14,0.35,0.35
Sharn Freier,Brisbane Roar,9.4,0.21,2.13,0.96,45,0.1,0.22,13.7,0.11,0,0,0.19,0.19,0.09,0.02,0.02
Tiana Fuller,Central Coast Mariners,7.2,0.83,4.31,1.53,35.5,0.19,0.55,16.3,0.14,0,0,0.6,0.6,0.14,0.24,0.24
Holly Furphy,Melb Victory,5.7,0.53,1.75,1.23,70,0.3,0.43,19,0,0,0,0.12,0.12,0.07,0.4,0.4
